"VariableOfInterest","GenesDEByVariable","GenesDEByO2","GenesDEByTraitxO2"
"resid_FoodCon",0,0,0
"resid_F.Mass_Gain",0,0,12
"resid_Lung_drymass",2,0,8
"resid_RV",1,0,3
"resid_LV_Sep",6,0,66
"resid_Lung_H20",69,0,23
"scaled_Hb",0,13,0
"scaled_Start_AvgLean",1,3,0
"scaled_HctAv",706,88,189
"scaled_Gluc",220,0,104
