"VariableOfInterest","GenesDEByVariable","GenesDEByO2","GenesDEByTraitxO2"
"resid_FoodCon",524,38,12
"resid_F.Mass_Gain",69,20,0
"resid_Lung_drymass",904,0,527
"resid_RV",1510,13,2
"resid_LV_Sep",3,8,0
"resid_Lung_H20",6885,6142,166
"scaled_Hb",166,4126,0
"scaled_Start_AvgLean",2684,2,78
"scaled_HctAv",13,4022,0
"scaled_Gluc",8125,3146,4384
