,Sample_ID_LZ,LZ_Lane,Sample_ID_JZ,JZ_Lane,TubeID,Mom,Strain,O2,Sex,Group,Sex_Group,LZ_Seq_Name,Placenta,Fetus,LS,C,Stage,Viable,FoodCon,F.Mass_GD1,F.Mass_GD18.5,F.Mass_Gain,Start_AvgLean,Hb,Lung,Lung_drymass,RV,LV_Sep,Lung_H20,HctAv,Gluc,resid_FoodCon,resid_F.Mass_GD1,resid_F.Mass_GD18.5,resid_F.Mass_Gain,resid_Lung,resid_Lung_drymass,resid_RV,resid_LV_Sep,resid_Lung_H20,scaled_FoodCon,scaled_F.Mass_GD1,scaled_F.Mass_GD18.5,scaled_F.Mass_Gain,scaled_Start_AvgLean,scaled_Hb,scaled_Lung,scaled_Lung_drymass,scaled_RV,scaled_LV_Sep,scaled_Lung_H20,scaled_HctAv,scaled_Gluc
38,LZ123,L001,JZ123,L004,123,BW41,BW,1N,F,BW1N,BW1N_F,RNA201216ZC_LZ123_S32_L001_fastp_pman_Halign_liberal.bam,0.1106,0.4015,5,N,23,Y,54.38,21.47,26.62,5.15,17.24,13.1,0.1593,0.0331,0.0386,0.0887,0.1262,44.85602857,201,-10.54179451,0.857477857,0.938694371,0.081216514,0.010944926,0.002861205,0.011249968,-0.01901979,-0.000493177,-1.263609003,0.267213029,0.167549847,0.012064414,-0.310930197,0.311369414,0.480554156,0.553308471,1.748883805,-0.097097985,0.506785786,-0.203394552,0.40322019
39,LZ124,L001,JZ124,L004,124,BW41,BW,1N,F,BW1N,BW1N_F,RNA201216ZC_LZ124_S33_L001_fastp_pman_Halign_liberal.bam,0.128,0.3934,5,N,23,Y,54.38,21.47,26.62,5.15,17.24,13.1,0.1593,0.0331,0.0386,0.0887,0.1262,44.85602857,201,-10.54179451,0.857477857,0.938694371,0.081216514,0.010944926,0.002861205,0.011249968,-0.01901979,-0.000493177,-1.263609003,0.267213029,0.167549847,0.012064414,-0.310930197,0.311369414,0.480554156,0.553308471,1.748883805,-0.097097985,0.506785786,-0.203394552,0.40322019
64,LZ129,L002,JZ129,L004,129,ME203,ME,2H,F,ME2H,ME2H_F,RNA201216ZC_LZ129_S88_L002_fastp_pman_Halign_liberal.bam,0.1396,0.2981,9,L,23,Y,79.21,29.77,40.38,10.61,23.02666667,15.2,0.2232,0.0499,0.0221,0.1103,0.1733,55.67406505,116,1.523768179,0.611434527,2.372794668,1.761360141,0.002145984,0.001922111,-0.006399315,0.005086051,-0.00660833,0.402323446,1.229977194,1.513636531,1.180064535,1.214523524,0.888463848,0.845195764,1.123140953,-0.713392288,1.104281603,0.757639501,1.218202087,-0.973439902
65,LZ130,L002,JZ130,L004,130,ME203,ME,2H,M,ME2H,ME2H_M,RNA201216ZC_LZ130_S89_L002_fastp_pman_Halign_liberal.bam,0.1429,0.3373,9,L,23,Y,79.21,29.77,40.38,10.61,23.02666667,15.2,0.2232,0.0499,0.0221,0.1103,0.1733,55.67406505,116,1.523768179,0.611434527,2.372794668,1.761360141,0.002145984,0.001922111,-0.006399315,0.005086051,-0.00660833,0.402323446,1.229977194,1.513636531,1.180064535,1.214523524,0.888463848,0.845195764,1.123140953,-0.713392288,1.104281603,0.757639501,1.218202087,-0.973439902
66,LZ131,L002,JZ131,L004,131,ME203,ME,2H,M,ME2H,ME2H_M,RNA201216ZC_LZ131_S90_L002_fastp_pman_Halign_liberal.bam,0.1421,0.343,9,L,23,Y,79.21,29.77,40.38,10.61,23.02666667,15.2,0.2232,0.0499,0.0221,0.1103,0.1733,55.67406505,116,1.523768179,0.611434527,2.372794668,1.761360141,0.002145984,0.001922111,-0.006399315,0.005086051,-0.00660833,0.402323446,1.229977194,1.513636531,1.180064535,1.214523524,0.888463848,0.845195764,1.123140953,-0.713392288,1.104281603,0.757639501,1.218202087,-0.973439902
67,LZ132,L002,JZ132,L004,132,ME203,ME,2H,F,ME2H,ME2H_F,RNA201216ZC_LZ132_S91_L002_fastp_pman_Halign_liberal.bam,0.1601,0.3562,9,L,23,Y,79.21,29.77,40.38,10.61,23.02666667,15.2,0.2232,0.0499,0.0221,0.1103,0.1733,55.67406505,116,1.523768179,0.611434527,2.372794668,1.761360141,0.002145984,0.001922111,-0.006399315,0.005086051,-0.00660833,0.402323446,1.229977194,1.513636531,1.180064535,1.214523524,0.888463848,0.845195764,1.123140953,-0.713392288,1.104281603,0.757639501,1.218202087,-0.973439902
68,LZ134,L002,JZ134,L004,134,ME202,ME,1N,F,ME1N,ME1N_F,RNA201216ZC_LZ134_S51_L002_fastp_pman_Halign_liberal.bam,0.1686,0.4395,6,N,23,Y,97,23.9,30.06,6.16,18.97,12.3,0.1591,0.0349,0.0186,0.0692,0.1242,46.33241981,173,29.0052351,-0.157886558,-0.869081476,-0.711194918,-0.026959118,-0.004903676,-0.007055933,-0.014421601,-0.005317401,1.395590092,-0.774482525,-0.881195346,-0.617870951,-0.856989585,-1.186945808,-1.545311111,-1.385873526,-1.23919168,-1.471464878,-1.574833476,-0.825275326,0.8611803
69,LZ135,L002,JZ135,L003,135,ME202,ME,1N,M,ME1N,ME1N_M,RNA201216ZC_LZ135_S52_L002_fastp_pman_Halign_liberal.bam,0.1495,0.4647,6,N,23,Y,97,23.9,30.06,6.16,18.97,12.3,0.1591,0.0349,0.0186,0.0692,0.1242,46.33241981,173,29.0052351,-0.157886558,-0.869081476,-0.711194918,-0.026959118,-0.004903676,-0.007055933,-0.014421601,-0.005317401,1.395590092,-0.774482525,-0.881195346,-0.617870951,-0.856989585,-1.186945808,-1.545311111,-1.385873526,-1.23919168,-1.471464878,-1.574833476,-0.825275326,0.8611803
70,LZ138,L002,JZ138,L004,138,ME208,ME,1N,M,ME1N,ME1N_M,RNA201216ZC_LZ138_S76_L002_fastp_pman_Halign_liberal.bam,0.1174,0.3562,8,N,23,Y,91.15,28.2,35.3,7.1,23.58,14.4,0.1994,0.0411,0.0268,0.1162,0.1583,50.06000845,146,12.14184254,-1.654303102,-3.672668399,-2.018365297,-0.026427355,-0.007992859,-0.002087155,0.008040834,0.007954349,1.068967839,0.693861051,0.33478518,-0.238082331,1.497079953,0.315937046,-0.042387132,-0.348814208,-0.007318819,1.474035964,0.045071382,-0.009868297,-0.007850322
71,LZ142,L002,JZ142,L004,142,ME208,ME,1N,F,ME1N,ME1N_F,RNA201216ZC_LZ142_S53_L002_fastp_pman_Halign_liberal.bam,0.1131,0.3063,8,N,23,Y,91.15,28.2,35.3,7.1,23.58,14.4,0.1994,0.0411,0.0268,0.1162,0.1583,50.06000845,146,12.14184254,-1.654303102,-3.672668399,-2.018365297,-0.026427355,-0.007992859,-0.002087155,0.008040834,0.007954349,1.068967839,0.693861051,0.33478518,-0.238082331,1.497079953,0.315937046,-0.042387132,-0.348814208,-0.007318819,1.474035964,0.045071382,-0.009868297,-0.007850322
