,Sample_ID,Lane,TubeID,Mom,Strain,O2,Sex,Order,Set,Group,Sex_Group,FoodCon,F.Mass_GD1,F.Mass_GD14.5,Start_AvgLean,F.Mass_Gain,Hb,Lung,Lung_drymass,RV,LV_Sep,Lung_H20,HctAv,Gluc,Seq_Name,Seq Read FWD,Seq Read REV,resid_FoodCon,resid_F.Mass_GD1,resid_F.Mass_GD14.5,resid_F.Mass_Gain,resid_Lung,resid_Lung_drymass,resid_RV,resid_LV_Sep,resid_Lung_H20,scaled_FoodCon,scaled_F.Mass_GD1,scaled_F.Mass_GD14.5,scaled_Start_AvgLean,scaled_F.Mass_Gain,scaled_Hb,scaled_Lung,scaled_Lung_drymass,scaled_RV,scaled_LV_Sep,scaled_Lung_H20,scaled_HctAv,scaled_Gluc
54,W205,L003,W205,ME292,ME,1N,M,54,Set5,ME1N,ME1N_M,45.08,27.54,28.9,23.22333333,1.36,14,0.2002,0.0416,0.0202,0.1073,0.1586,46.34155775,157,RNA210809ZC_Set5_W205_S43_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set5_W205_S43_L003_R1_001.fastq.gz,RNA210809ZC_Set5_W205_S43_L003_R2_001.fastq.gz,-9.220154983,-1.039519379,-0.462337341,0.577182038,0.00239354,0.002435174,-0.00472083,0.003419243,0.004265533,-1.075965173,0.970924803,0.999533723,1.576323996,-0.358510817,0.073335429,0.602449849,0.504180766,-1.393115799,1.243922706,0.638244142,-0.839570265,-0.106006158
55,W206,L003,W206,ME298,ME,2H,F,55,Set5,ME2H,ME2H_F,51.18,24.62,25.95,20.51666667,1.33,14.4,0.2009,0.0415,0.0278,0.0923,0.1594,52.12365586,216,RNA210809ZC_Set5_W206_S41_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set5_W206_S41_L003_R1_001.fastq.gz,RNA210809ZC_Set5_W206_S41_L003_R2_001.fastq.gz,-0.886582486,-0.68987248,-1.009503351,-0.31963087,0.0105507,0.002410932,0.001273913,-0.001352739,0.005387569,-0.123052889,-0.222873499,-0.44102821,0.058203793,-0.39130144,0.46821851,0.643109314,0.484128122,0.26194808,-0.079399322,0.695453701,0.880355622,1.28827866
56,W218,L003,W218,ME301,ME,1N,F,56,Set5,ME1N,ME1N_F,50.4,21.12,23.62,18.14666667,2.5,12.2,0.1856,0.0378,0.0322,0.0953,0.1478,46.93650205,132,RNA210809ZC_Set5_W218_S50_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set5_W218_S50_L003_R1_001.fastq.gz,RNA210809ZC_Set5_W218_S50_L003_R2_001.fastq.gz,0.289168806,-1.326918107,-1.235544026,0.091374081,0.001780307,-0.001222733,0.004268325,0.010603074,0.005702924,-0.244900689,-1.653796121,-1.578827974,-1.27108619,0.887532876,-1.703638435,-0.245590432,-0.25781971,1.220142957,0.185265084,-0.134084904,-0.662599883,-0.69680481
57,W219,L003,W219,ME301,ME,1N,M,57,Set5,ME1N,ME1N_M,50.4,21.12,23.62,18.14666667,2.5,12.2,0.1856,0.0378,0.0322,0.0953,0.1478,46.93650205,132,RNA210809ZC_Set5_W219_S48_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set5_W219_S48_L003_R1_001.fastq.gz,RNA210809ZC_Set5_W219_S48_L003_R2_001.fastq.gz,0.289168806,-1.326918107,-1.235544026,0.091374081,0.001780307,-0.001222733,0.004268325,0.010603074,0.005702924,-0.244900689,-1.653796121,-1.578827974,-1.27108619,0.887532876,-1.703638435,-0.245590432,-0.25781971,1.220142957,0.185265084,-0.134084904,-0.662599883,-0.69680481
58,W128,L003,128,ME214,ME,2H,F,58,Set6,ME2H,ME2H_F,62.7,25.96,27.99,20.98,2.03,14.3,0.2008,0.0406,0.0234,0.102,0.1602,49.43594475,159,RNA210809ZC_Set6_W128_S53_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set6_W128_S53_L003_R1_001.fastq.gz,RNA210809ZC_Set6_W128_S53_L003_R2_001.fastq.gz,10.25106951,0.090421957,0.619174084,0.528752127,0.009174167,0.001497964,-0.002851295,0.006596406,0.009085899,1.676545394,0.324965448,0.555156991,0.318079048,0.373813108,0.36949774,0.637300819,0.303654325,-0.696246797,0.776348923,0.752663259,0.080876987,-0.058742266
59,W153,L003,W153,ME259,ME,2H,F,59,Set6,ME2H,ME2H_F,45.77,25.75,26.22,21.13666667,0.47,14.7,NA,0.0277,0.027,0.086,NA,50.70454508,99,RNA210809ZC_Set6_W153_S58_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set6_W153_S58_L003_R1_001.fastq.gz,RNA210809ZC_Set6_W153_S58_L003_R2_001.fastq.gz,-6.808213626,-0.308831008,-1.289906212,-0.981075204,NA,-0.011406421,0.00084162,-0.00999561,NA,-0.968176735,0.23911009,-0.309180169,0.40595054,-1.331299314,0.764380821,NA,-2.283136764,0.08773083,-0.635194573,NA,0.458231106,-1.476659031
60,W172,L003,W172,ME260,ME,1N,M,60,Set6,ME1N,ME1N_M,NA,NA,NA,20.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,RNA210809ZC_Set6_W172_S59_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set6_W172_S59_L003_R1_001.fastq.gz,RNA210809ZC_Set6_W172_S59_L003_R2_001.fastq.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104943945,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,W182,L003,W182,ME264,ME,2H,F,61,Set6,ME2H,ME2H_F,55.3,27.06,27.78,21.74666667,0.72,16,0.2005,0.0422,0.022,0.0996,0.1583,55.31428987,91,RNA210809ZC_Set6_W182_S61_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set6_W182_S61_L003_R1_001.fastq.gz,RNA210809ZC_Set6_W182_S61_L003_R2_001.fastq.gz,2.21840735,0.26429044,-0.271431607,-0.535722048,0.006761917,0.003076505,-0.003796604,0.001299307,0.002033313,0.520553442,0.774683986,0.452608514,0.748088468,-1.058044118,2.047750834,0.619875334,0.624496631,-1.001126985,0.564617398,0.616790557,1.829432223,-1.665714599
62,W189,L003,W189,ME265,ME,1N,M,62,Set6,ME1N,ME1N_M,44.51,24.3,26.31,18.89,2.01,12,0.1711,0.0378,0.0264,0.0887,0.1333,42.32071125,223,RNA210809ZC_Set6_W189_S56_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set6_W189_S56_L003_R1_001.fastq.gz,RNA210809ZC_Set6_W189_S56_L003_R2_001.fastq.gz,-6.214238418,0.955136995,0.794564374,-0.160572621,-0.014767657,-0.001243538,-0.001090823,0.001194148,-0.008797076,-1.165007797,-0.35370071,-0.265230822,-0.854164017,0.351952692,-1.901079975,-1.087822218,-0.25781971,-0.042932108,-0.396996608,-1.171008159,-2.03559943,1.453702283
63,W202,L003,W202,ME292,ME,1N,F,63,Set6,ME1N,ME1N_F,45.08,27.54,28.9,23.22333333,1.36,14,0.2002,0.0416,0.0202,0.1073,0.1586,46.34155775,157,RNA210809ZC_Set6_W202_S60_L003_fastp_pman_Halign_liberal.bam,RNA210809ZC_Set6_W202_S60_L003_R1_001.fastq.gz,RNA210809ZC_Set6_W202_S60_L003_R2_001.fastq.gz,-9.220154983,-1.039519379,-0.462337341,0.577182038,0.00239354,0.002435174,-0.00472083,0.003419243,0.004265533,-1.075965173,0.970924803,0.999533723,1.576323996,-0.358510817,0.073335429,0.602449849,0.504180766,-1.393115799,1.243922706,0.638244142,-0.839570265,-0.106006158
